Date: 2022-11-11 10:58:00
Device: FAKE device
Serialno: 0000000
Version: 0000000
titel meegeven: subject_marker_table
optional dict (key: value), meesturen aan gen_table()

tijd in s, behalve duration

#Summary#
value	occurrence
1	1
129	1
2	1
3	2

#Markers#
value	start_time_us	end_time_us	duration_us	occurrence
1	17451772625.2	17451772653.2	28.0	1
129	17451772653.2	17451772685.8	32.599998474121094	1
3	17451872705.3	17452072765.1	200059.79999923706	1
2	17452272821.4	17452372851.0	100029.59999847412	1
3	17452472884.2	17452472918.0	33.79999923706055	2

#Errors#
time_us	error
17451772622.2	Marker was sent within 10 ms after last marker 
17451772650.7	Marker was sent within 10 ms after last marker 
17451772683.5	Marker was sent within 10 ms after last marker 
17451972733.9	Marker with value 3 is sent twice in a row.
17452472914.6	Marker was sent within 10 ms after last marker 
