Date: 2022-11-18 15:24:34
Device: FAKE device
Serialno: 0000000
Version: 0000000
key1: 1
key2: 2
key3: 3

#Summary#
value	occurrence
1	1
129	1
2	1
3	2

#Markers#
value	start_time_us	end_time_us	duration_us	occurrence
1	33434580836.1	33434580851.7	15.60000228881836	1
129	33434580851.7	33434580886.2	34.5	1
3	33434680900.6	33434880960.6	200060.0	1
2	33435080985.2	33435180999.3	100014.09999847412	1
3	33435281016.0	33435281034.3	18.299999237060547	2

#Errors#
time_us	error
33434580833.1	Marker with value 1 was sent within 10 ms after previous marker with value 0
33434580849.2	Marker with value 129 was sent within 10 ms after previous marker with value 1
33434580883.7	Marker with value 0 was sent within 10 ms after previous marker with value 129
33434780920.1	Marker with value 3 is sent twice in a row.
33435281031.0	Marker with value 0 was sent within 10 ms after previous marker with value 3
